,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,links
0,NCT03763474,Completed,diabetes mellitus type 1 ,aristotle university of thessaloniki , years to  years   child adult ,other ,allocation randomized intervention model parallel assignment masking single outcomes assessor primary purpose supportive care ,endocrine unit of rd department of pediatrics of aristotle university of thessaloniki hippokration general hospital thessaloniki greece ,https://ClinicalTrials.gov/ProvidedDocs/74/NCT03763474/Prot_SAP_001.pdf
1,NCT05013294,Completed,diabetes ,ku leuven jomo kenyatta university of agriculture and technology ,child adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,jomo kenyatta university of agriculture and technology nairobi kenya ,https://ClinicalTrials.gov/ProvidedDocs/94/NCT05013294/Prot_000.pdf
2,NCT03108521,Completed,diabetes mellitus ,sichuan provincial peoples hospital , years to  years   adult older adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose treatment ,sichuan provincial peoples hospital chengdu sichuan china ,https://ClinicalTrials.gov/ProvidedDocs/21/NCT03108521/Prot_SAP_000.pdf
3,NCT02928952,Completed,diabetes mellitus ,va office of research and development , years and older   adult older adult ,us fed ,allocation randomized intervention model parallel assignment masking none open label primary purpose health services research ,va pittsburgh healthcare system university drive division pittsburgh pa pittsburgh pennsylvania united states ,https://ClinicalTrials.gov/ProvidedDocs/52/NCT02928952/Prot_SAP_000.pdf
4,NCT05106231,Not Completed,diabetes mellitus type2 diabetes ,clinical research centre malaysia ministry of health malaysia , years and older   adult older adult ,other ,allocation randomized intervention model factorial assignment masking single outcomes assessor primary purpose supportive care ,klinik kesihatan daro daro sarawak malaysia klinik kesihatan kapit kapit sarawak malaysia klinik kesihatan jalan masjid kuching kuching sarawak malaysia klinik kesihatan bandar miri miri sarawak malaysia klinik kesihatan pusa pusa sarawak malaysia klinik kesihatan sarikei sarikei sarawak malaysia klinik kesihatan siburan serian sarawak malaysia klinik kesihatan jalan oya sibu sarawak malaysia klinik kesihatan sri aman simanggang sarawak malaysia ,https://ClinicalTrials.gov/ProvidedDocs/31/NCT05106231/Prot_SAP_ICF_001.pdf
5,NCT02002130,Completed,type i diabetes ,university of alabama at birmingham diamyd inc now foods janssen pharmaceuticals juvenile diabetes research foundation , years to  years   child adult ,other industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,childrens of alabama birmingham alabama united states ,https://ClinicalTrials.gov/ProvidedDocs/30/NCT02002130/Prot_SAP_000.pdf
6,NCT02641522,Completed,type 1 diabetes ,carla greenbaum md janssen research  development llc benaroya research institute , years to  years   adult ,other industry ,allocation na intervention model single group assignment masking none open label primary purpose basic science ,benaroya research institute seattle washington united states ,https://ClinicalTrials.gov/ProvidedDocs/22/NCT02641522/Prot_SAP_000.pdf
7,NCT03224234,Completed,diabetes ,emory university insulcoud sl , years to  years   adult older adult ,other ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,emory clinic emory university hospital noncrn emory university hospital clinical research network emory university hospital midtown grady health system noncrn atlanta georgia united states ,https://ClinicalTrials.gov/ProvidedDocs/34/NCT03224234/Prot_SAP_000.pdf
8,NCT03626909,Completed,diabetes ,university of wisconsin madison stanford university , years and older   adult older adult ,other ,observational model cohort time perspective prospective ,hospital obras sociales san lucas tolimn solala guatemala ,https://ClinicalTrials.gov/ProvidedDocs/09/NCT03626909/Prot_SAP_000.pdf
9,NCT02953262,Completed,diabetes mellitus ,va office of research and development , years to  years   adult older adult ,us fed ,allocation randomized intervention model parallel assignment masking single participant primary purpose health services research ,edith nourse rogers memorial veterans hospital bedford ma bedford massachusetts united states va boston healthcare system jamaica plain campus jamaica plain ma boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/62/NCT02953262/Prot_SAP_000.pdf
