,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,Summerised_pdf_based_on_keywords,links
0,NCT03763474,Completed,diabetes mellitus type 1 ,aristotle university of thessaloniki , years to  years   child adult ,other ,allocation randomized intervention model parallel assignment masking single outcomes assessor primary purpose supportive care ,endocrine unit of rd department of pediatrics of aristotle university of thessaloniki hippokration general hospital thessaloniki greece ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region. 
IBM SPSS software was used for the statistical analysis of each group.
The change was set as secondary outcome.
Results are reported as 'primary outcome' for quantitative variables.
Treatment was set at 80 patients altoget herded ment of 80 patients. 
Eighty patients were finally eligible to participate in the study.
Inclusion criteria included use of the app and lack of capacity.
Eighty-four patients met the inclusion criteria and agreed to participate.
The study was carried out by the Department of Clinical DTSQ",https://ClinicalTrials.gov/ProvidedDocs/74/NCT03763474/Prot_SAP_001.pdf
1,NCT05013294,Completed,diabetes ,ku leuven jomo kenyatta university of agriculture and technology ,child adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,jomo kenyatta university of agriculture and technology nairobi kenya ," The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.
All participants should wear a face mask to reduce the chances of infection.
All participants must wear a mask to prevent the disease.
If you want to withdraw consent, your records will be destroyed.
The results will be published in the journal of the journal.
You can contact Dr Florence Kyallo at 0207 722 693 523.
The World Health Organization has published its own report on the health of the population.
The report includes the use of the behaviour change control system.
In the past, the WHO has published the same methods.
A new study has found that the food literacy scale is a factor in the health outcomes of an adult sam in the Netherlands.-In Kenya, the prevalence of type 2 diabetes is rising.
The prevalence of the disease is rising and by 2045, it is projected that nearly 1.5 million people will have diabetes.
In Kenya the use of mHealth is associated with.
obesity.-The use of a med-based inter-hospital medics for diabetes is a global trend.
The use in the use of the medication adherence promotion promotion promotion for diabetes.
In the UK, the use in diabetes medication for low -income adults is the highest.
Symptoms of the disease include a rapid heart rate loss and mortality rate among middle-aged women.
The World Health Organization has published its own report on the health of the population.
The report includes the use of the behaviour change control system.
In the past, the WHO has published the same methods.
A new study has found that the food literacy scale is a factor in the health outcomes of an adult sam in the Netherlands.
This flexibility makes HbA1C a more preferred diagnostic test for diabetes.
This flexibility means it avoids the day-to-day variability of glucose val ues.
The recommended cut-off point for diagnosing diabetes is 6.5% (48mmol/mol/mol)
This is the recommended cut off point for diagnosis.
It is also recommended for the patient to fast prior to the test.
Research shows the reason for the high level of mortality is not clear.
The study will provide all required laboratory equipment and materials.
The study is based on the Laboratory Biosafety and Bisecurity Policy Guidelines.
In the study, participants will be able to evaluate the usability of the text.
On day 1, the researchers will be shown a live transcript of the data.
The World Health Organization has published its own report on the health of the population.
The report includes the use of the behaviour change control system.
In the past, the WHO has published the same methods.
A new study has found that the food literacy scale is a factor in the health outcomes of an adult sam in the Netherlands.-All participants should wear a face mask to reduce the chances of infection.
It is also recommended for the patient to fast prior to the test.
Research shows the reason for the high level of mortality is not clear.
The use of a med-based inter-hospital medics for diabetes is a global trend.
The use in the use of the medication adherence promotion promotion promotion for diabetes.
In the UK, the use in diabetes medication for low -income adults is the highest.
Symptoms of the disease include a rapid heart rate loss and mortality rate among middle-aged women.-The study will provide all required laboratory equipment and materials.
The study is based on the Laboratory Biosafety and Bisecurity Policy Guidelines.
In the study, participants will be able to evaluate the usability of the text.
On day 1, the researchers will be shown a live transcript of the data.
HbA1c will be measured using a high-performance liquid chromatography technique.
The micro-electrical device will be analysed by the glucose oxidase method.
Lab testing and analysis will be conducted at the Lancet laboratories, Kenya.
Symptoms will include weight, waist and hip circumference.
Research will be carried out at the Kenya University.
Data will be collected using R version 4.0.3 (116)
The study will be disseminated through print and electronic media.
The findings will be published in peer reviewed scientific paper.
Findings will be shared through peer reviewed research.
Research will be provided to stakeholders.-
The questionnaire was developed by an expert-based and.
logistics expert.
It was developed based on the World Health Organization STEPS Instrument and.22.
The questionnaire is based on a.
tool used to assess the food literacy among.
 \npeople with c hronic diseases in Netherlands (107)
The.
micro-logometer was developed using the World.
Health Organization.
and.
the.
Sahueni County, Kenya.
This was developed through an expert - based on an expert.",https://ClinicalTrials.gov/ProvidedDocs/94/NCT05013294/Prot_000.pdf
2,NCT02928952,Completed,diabetes mellitus ,va office of research and development , years and older   adult older adult ,us fed ,allocation randomized intervention model parallel assignment masking none open label primary purpose health services research ,va pittsburgh healthcare system university drive division pittsburgh pa pittsburgh pennsylvania united states ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.
Study: 31 veterans surveyed with T2D M in 2008 to 9-week MBS program.
Survey found 61% of respondents had no interest in attending the MBSR program.22% of those surveyed had no stress or stress-related issues.
Study was conducted by the University of Massachusetts in Rhode Island.
The Mind-STRIDE intervention is powered by a multi-systemed system.
The main outcome is DRD measured by the PAID scale.
It is the first time the study has been powered by the Mind-Structure.
This is powered up by a medium, or non-linear, predictor of the patient's distress.
In the study, the primary outcome was DRD.
Treatment group will need to be recruited over the course of the 2-year study.
The Primary Investigator has assembled an.
and experienced experienced adult nurse.
students and co-investigators.
The primary investigator has assembled a team of mentors and co -investigators who have the diversity of experience and expertise necessary for the study.
Dr. Monica DiNardo PhD, RN, PhD, PhD (MS) and.
Nurse Co-Investigator) are the primary investigators.
She is a seasoned certified adult nurse and a seasoned.
accociate nurse.-The participants will be randomly assigned to either the experimental condition or the usual care provider.
The experimental group will be given a digital tablet as a remuneration for participation.
Participants will also receive a digital iPad as a reminder of their health.
All participants will receive a monthly post-card from the study team to help promote engagement.
The data was collected by a 3-item questionnaire.
The questionnaire was designed to measure general satisfaction with overall health care services.
It includes age, race, ethnicity, duration of diabetes, medications, employment statuaries and the level of education completed.
A questionnaire will be conducted in a subset of 25 participants (40 –minutes)-Dr. Carolyn Thorpe PhD, RN, is a physician and behavioral scientist.
She is a nationally prominent advocate for diabetes care.
Dr Thorpe is a former Vice President of the American Diabetes Institute.
The study is based on the findings of a.
DODI regional diabetes initiative grant.-Mind-STRIDE is an experimental study of mindfulness meditation.
Mind-body studies of PTSD patients for PTSD and cardiovascular risk in veterans.
The study is the first to use the technique to study chronic conditions.
It is the only one to use it in the study.-Diabetes self-management requires daily, demanding daily, daily, self-care.
Diabetes affects one million Veterans who receive care through the Veterans Administration.
The condition affects one in million Veterans receiving care through a VA hospital.
Dr. D.G. McLaughlin is the Cornerst one of Diabetes Self-Management Education (DSME) (DS ME)-The participants will be randomly assigned to either the experimental condition or the usual care provider.
The experimental group will be given a digital tablet as a remuneration for participation.
Participants will also receive a digital iPad as a reminder of their health.
All participants will receive a monthly post-card from the study team to help promote engagement.-The participants will be randomly assigned to either the experimental condition or the usual care provider.
The experimental group will be given a digital tablet as a remuneration for participation.
Participants will also receive a digital iPad as a reminder of their health.
All participants will receive a monthly post-card from the study team to help promote engagement.-Dr. Morone is a general internist at the University of Pittsburgh Graduate School of Public Health.
She has completed two studies of the effects of mindfulness.
Dr. She will help with the study of the proposed study.
The study will be conducted at the university's Graduate School. ",https://ClinicalTrials.gov/ProvidedDocs/52/NCT02928952/Prot_SAP_000.pdf
3,NCT05106231,Not Completed,diabetes mellitus type2 diabetes ,clinical research centre malaysia ministry of health malaysia , years and older   adult older adult ,other ,allocation randomized intervention model factorial assignment masking single outcomes assessor primary purpose supportive care ,klinik kesihatan daro daro sarawak malaysia klinik kesihatan kapit kapit sarawak malaysia klinik kesihatan jalan masjid kuching kuching sarawak malaysia klinik kesihatan bandar miri miri sarawak malaysia klinik kesihatan pusa pusa sarawak malaysia klinik kesihatan sarikei sarikei sarawak malaysia klinik kesihatan siburan serian sarawak malaysia klinik kesihatan jalan oya sibu sarawak malaysia klinik kesihatan sri aman simanggang sarawak malaysia ,"The study aims to bridge the gap in the literature by exam in Malaysia.
The aim is to measure the effectiveness of PICC on improving HbA1C, fasting blood glucose and understanding the sustainability of the program.
No studies have been available to evaluate the effectiveness and explore participants perceptions towards the program, however.-Study aims to bridge the gap in the literature by exam in Malaysia.
Aim is to measure effectiveness of PICC on improving HbA1C, fasting blood glucose and understanding sustainability of the program.
No studies have been available to evaluate the effectiveness of the PIC C.- -Interviewed with the 'insurgent' interviewers.
Interviewed in Malay or English and lasted 35 minutes.
The audio recording will be anonymous.
Questions were asked about the program's impact on your medication-taking behaviour.
After the interview, the interview was completed.- -The SGBI will evaluate the concept and strategies of treatment fidelity.
The framework of treatment is based on the concept of treatment and strategies.
Treatment fidelity will be evaluated using the concept.
the concept and strategy.
It is a clinical trial of treatment.
Fidelity of the SGBI to be evaluated.-The SGBI will evaluate the concept and strategies of treatment fidelity.
The framework of treatment is based on the concept of treatment and strategies.
Treatment fidelity will be evaluated using the concept.
the concept and strategy.
It is a clinical trial of treatment.
Fidelity of the SGBI to be evaluated.-The new version of the system was released in the early hours of October 21.
The system is designed to be a systematic review of the outcome of a system.
'The ICC0004 was a program that was designed to test and evaluate reporting. It was aICC0003. It is now available to use Systematic Review'-The ‘List of Participants’ will be handed over to one appointed.
nofficers’
The “List of participants’ is kept by the Sarawak Pharmacy Service Division.
No breaking code procedure is necessary for the blinding of researchers.-The consent forms will be used to determine how much information is required by this study to disclose.
The data will be stored in a locked office of the investigators.
All the participants’ names will be kept on a password-protected database.
Data will be destroyed after that period.-Data will be stored in a locked office of the investigators.
Data will not be shared with anyone except by the researchers.
The confidentiality of your identity and information will always be protected.
If you have any questions about your rights as a participant in this study, contact the Ministry of Health Malaysia at 0207 70773769.-The MyPICC Activity Book includes a guide to the nutrition science of the Paleo diet.
The session includes a meeting aids and discussions about the nutrition side of the PICC.
Participants will be divided into small, small and large groups.
Dietician will make a summary of the activities for the participants.- -The study will be registered with the National Institutes of Health.
The study is part of the National Institute of Health's ClinicalTrials.
There are no severe side effects known to be from the study.
No severe side-effects were known to subjects.
Study will be available to researchers in the U.S.The study will be registered with the National Institutes of Health.
The study is part of the National Institute of Health's ClinicalTrials.
There are no severe side effects known to be from the study.
No severe side-effects were known to subjects.
Study will be available to researchers in the U.S.-Participants will be given a talk using PICC and be dismissed a nd.
The intervention will be from 1st to 30th September 2021.
Participants are not asked to take part.
They will be dismissed in December 2021 for the follow-up HbA1C.-The prevalence of DM has risen from 4.7% in 1980 to 8.5% in 2014.
There appears to be no sign of a reduction in the rate of increase.
Certain regions of the world, such as Western Europe and the Pacific are experiencing a disproportionately high number of DM.- -Data collected through the semi-structured interview.
Data collected for the purpose of the qualitative survey.
The study will be conducted in compliance with ethical guidelines.
It will be registered with the National Institutes of Health.
This is the first study to be conducted to identify themes related to the questions related to questions related.-The study will be a prospective, multicenter, single-nab study.
The study is designed to be a multicenter and parallel-design single-\nblind, randomised controlled trial.
It will be from 1 November to 30 April 202 people will be treated with two treatment groups.",https://ClinicalTrials.gov/ProvidedDocs/31/NCT05106231/Prot_SAP_ICF_001.pdf
4,NCT02002130,Completed,type i diabetes ,university of alabama at birmingham diamyd inc now foods janssen pharmaceuticals juvenile diabetes research foundation , years to  years   child adult ,other industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,childrens of alabama birmingham alabama united states ," The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.- -The identity of the treatment will remain blind until the 12 month research visit.
The study blind will be broken up in a separate study.
Participants will continue in the study unless it is de-medicated.
Patients will continue to continue in a study unless they are deemed fit.- -The identity of the treatment will remain blind until the 12 month research visit.
The study blind will be broken up in a separate study.
Participants will continue in the study unless it is de-medicated.
Patients will continue to continue in a study unless they are deemed fit.-The study is a 3-arm, randomized, double-blind, placebo-controlled, clinical trial.
Patients will be followed ed ed for a total of 12 months.
The study was a 3,arm, double -blind, clinical clinical trial, double.
blind, double,.
brief, placebo - controlled.
Study is a three-arm randomized, placebo, clinical.-The Clinical Nutrition Research Centre will run the trials at the University of Alabama.
The results will be analyzed by UAB Metabolism Core Lab.
This will look at the level of blood and cell markers.
It will also look at whether the number of positive autoantibodies per participant changes, or increases, with the result.
A new study will be carried out on the same type of blood test at the same time.-Adverse events will be graded on a \n scale from 1 to 5 according to the criteria set forth in the NCI CTCAE manual.
The term ‘severe’ is used to describe the intensity (severity) of a specific.
enevent ity) or severe.
A distinction should be made between serious and severe AEs.
An identical en try should be recorded in the patient’s medical records.-The identity of the treatment will remain blind until the 12 month research visit.
The study blind will be broken up in a separate study.
Participants will continue in the study unless it is de-medicated.
Patients will continue to continue in a study unless they are deemed fit.- - - -An AE is an AE, occurring at any dose that fulfills 1 or more of the following outcomes.
The AE will be recorded using standard \nmedical terminology that is as specific as possible, rather than the subject's own.
All clinical and diagnostic tests are recorded using standardized.- -An AE is an AE, occurring at any dose that fulfills 1 or more of the following outcomes.
The AE will be recorded using standard \nmedical terminology that is as specific as possible, rather than the subject's own.
All clinical and diagnostic tests are recorded using standardized.-The study will focus on a comparison of the clinical and clinical trials of the study.
The study is managed by the University of Alabama at Birmingham IRB.
It will be managed by a clinical and conducted according to the latest international guidelines for Good Clinical Practice (GCP)- -The study will focus on a comparison of the clinical and clinical trials of the study.
The study is managed by the University of Alabama at Birmingham IRB.
It will be managed by a clinical and conducted according to the latest international guidelines for Good Clinical Practice (GCP)- -The study is a 3-arm, randomized, double-blind, placebo-controlled, clinical trial.
Patients will be followed ed ed for a total of 12 months.
The study was a 3,arm, double -blind, clinical clinical trial, double.
blind, double,.
brief, placebo - controlled.
Study is a three-arm randomized, placebo, clinical.",https://ClinicalTrials.gov/ProvidedDocs/30/NCT02002130/Prot_SAP_000.pdf
6,NCT03224234,Completed,diabetes ,emory university insulcoud sl , years to  years   adult older adult ,other ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,emory clinic emory university hospital noncrn emory university hospital clinical research network emory university hospital midtown grady health system noncrn atlanta georgia united states ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.
The Diabetes Treatment Satisfaction Questionnaire Statusnaire Status and Data Nudge Scale is available at weeks 0, 12 and 24.
The duration of the study is expected to be between 2 and 24, and the direction of the treatment is determined by the percentage of patients and number of insulin omission.
In the study, the total number of patients with T2D to be included in this study is 150,1717.
Insulin is the oldest and most potent agent for the treatment of diabetes.
Insulin non-adherence has been reported in up to two-thirds of patients with T2D.
The insulin tracking and alert system will address the issue of non-insulin injections..
The insulin tracking and alert system will address the issue of non-insulin injections.
Patients will be instructed in doing glucose testing at home before meals.
Patients are instructed to contact the site for any quest ions on insulin dose adjustments.
The study was conducted by the Insulclock Proposal Scheme.
In each visit, patients will have a telephone visit with the investigator at 2 weeks.-In adults with type 2 diabetes, diabetes patients over 60 years old may have fewer hypoglycaemic episodes in patients with advanced type 2.
The influence of different insulin regimens on quality of life is unknown.
In diabetes care, the influence of insulin regressive drugs on quality.
The study will be conducted in accordance with the Declaration of Helsinki.
The study is conducted in the accordance with ICH GCP guidelines.
Informed consent will be given before any trial related to the study.
It will be followed by a signed copy of the consent form.
Diabetes Care and Diabetes Diabetes (DDR) published a new study of the condition.
The study looked at the use of mobile phone text messages to improve insulin injection.
In Turkey, the first combined clinical trial of the first combination of diabetes and smartphone diabetes diary app lication.-Patients will receive diabetes education prior to participation in the study.
The primary outcome of treatment adherence is whether a patient has a good adherent to the treatment regimen.
If a patient develops hypoglycemia, the dose of insulin will be reduced.
It will be a pilot study and will be used to recruit 40 subjects.
Patients will receive diabetes education prior to participation in the study.
The primary outcome of treatment adherence is whether a patient has a good adherent to the treatment regimen.
If a patient develops hypoglycemia, the dose of insulin will be reduced.
It will be a pilot study and will be used to recruit 40 subjects.-The study will be conducted in accordance with the Declaration of Helsinki.
The study is conducted in the accordance with ICH GCP guidelines.
Informed consent will be given before any trial related to the study.
It will be followed by a signed copy of the consent form. ",https://ClinicalTrials.gov/ProvidedDocs/34/NCT03224234/Prot_SAP_000.pdf
7,NCT03626909,Completed,diabetes ,university of wisconsin madison stanford university , years and older   adult older adult ,other ,observational model cohort time perspective prospective ,hospital obras sociales san lucas tolimn solala guatemala ," The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.-Patients will be able to socialize and form relationships with patients with diabetes.
Patients with eGFR <30 mL/min will be referred to San Lucas Mission Hospital for treatment.
The program will pay the costs of ambulance transfer to SLMH.
In the program, monthly visits will be an opportunity for patients to form relationships.-Diabetes Treatment in Rural Guatemala is a clinical trial of the treatment.
The study will use a binary assessment of severity of medications used in the study.
It will use the OHRP definition of an Adverse Event (SAE) to describe severity of the event.- -Community Health \nWorkers (CHWs) have become central to global health strategies since 1978.
The potential use of mHealth is a burgeoning field of global health research.
In Guatemala, the prevalence of diabetes has doubled over the past 30 years.-Diabetes Treatment in Rural Guatemala will be used to guide CHWs through the clinical trials.
Patients will be treated with at least one of the three medications they will be using.
The medication is available to use in the U.S. and will run in the Philippines.-Diabetes Treatment in Rural Guatemala is a clinical trial of the treatment.
The study will use a binary assessment of severity of medications used in the study.
It will use the OHRP definition of an Adverse Event (SAE) to describe severity of the event.-Diabetes Treatment in Rural Guatemala is not consistent with clinical trials.
The current standard of care in rural communities is not consistently consistent.
Charity will use training to fill in gaps in diabetes-specific clinical data.
Training will be conducted by researchers from SLMH CHWs.-The protocol deviation is any noncompliance with the clinical trial protocol, GCP, or MOP requirements.
The protocol is designed to be monitored as described in 11.1.1 and 10.6.
A study of the participants will be conducted.
Inspectors will assess medication compliance via patient report.-Diabetes Treatment in Rural Guatemala will provide information on how to take the medication and how to avoid adverse effects.
The CHW will also provide patient education on diabetes self-management.
This will also help patients with diabetes self.
In addition to the information, the CHW is providing patient education and counseling.-Diabetes Treatment in Rural Guatemala is a Diabetes Treatment Program.
Diabetes treatment in rural Guatemala is available for access.
The program is being funded by the Diabetes in Rural Guatemalala.
It is the first time the program has been funded by a federal program.-Patients excluded from the diabetes treatment program are excluded from it.
The potential risks include gastrointestinal distress, renal failure, renal toxicity.
Pregnant women excluded from program are not allowed to access diabetes care.
Patients are excluded for certain indications during pregnancy.
If they are not pregnant, they may not have access to the treatment.
Patients excluded from the diabetes treatment program are excluded from it.
The potential risks include gastrointestinal distress, renal failure, renal toxicity.
Pregnant women excluded from program are not allowed to access diabetes care.
Patients are excluded for certain indications during pregnancy.
If they are not pregnant, they may not have access to the treatment.
Diabetes Treatment in Rural Guatemala is a clinical trial of the treatment.
The study will use a binary assessment of severity of medications used in the study.
It will use the OHRP definition of an Adverse Event (SAE) to describe severity of the event.-Diabetes Treatment in Rural Guatemala is a new treatment for Diabetes Treatment.
Diabetes treatment in rural Guatemala is the first to be administered in the country.
The program is also being trialled in the rural Guatemalan region.
In the past, the program has been a success.
The protocol deviation is any noncompliance with the clinical trial protocol, GCP, or MOP requirements.
The protocol is designed to be monitored as described in 11.1.1 and 10.6.
A study of the participants will be conducted.
Inspectors will assess medication compliance via patient report.",https://ClinicalTrials.gov/ProvidedDocs/09/NCT03626909/Prot_SAP_000.pdf
8,NCT02953262,Completed,diabetes mellitus ,va office of research and development , years to  years   adult older adult ,us fed ,allocation randomized intervention model parallel assignment masking single participant primary purpose health services research ,edith nourse rogers memorial veterans hospital bedford ma bedford massachusetts united states va boston healthcare system jamaica plain campus jamaica plain ma boston massachusetts united states ," The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.-The American Telemedicine Association is the journal of the American TeleMedicine Society.
The group is the official journal of American Telemedicaline Association.
It is the first journal to publish a journal journal of medical data.
""Theory of promises, pitfalls, insights, and recommendations, and recommends recommendations, recommendations,.
HIPAA waiver of consent for Bedford patients will be required.
Patients will be told that participation is voluntary.
If they do opt out, they will be informed of the general nature of the study.
The study will be conducted at Boston patients' Boston hospitals.
The interview will be expected to last 15-20 minutes.
It will be conducted by a complier average causal effect (CACE) analysis.
The interview is expected to be a small-scale experiment.
ITT does not directly assess the effect of receiving encouragement from the patient.
Data that is not stored on VINCI will be stored on a secure server.
Only individuals listed on the staff form for this study will have access to the database.
All computers are password protected.
No hardcopy files will be released to the public or cited in a publication.
Patients at Bedford/Boston VAMCs with uncontrolled diabetes will be invited to participate in the intervention.
Patients will be randomized to four arms.
The Veterans with Diabetes are more likely to have a higher number of comorbidities.
Over 20% of VA patients struggle with Type 2 diabetes.-VHA data will be stored in a secure VA computer.
The risks of the study are minimal.
Participants will be asked about their diabetes management and how they use My HealtheVet.
Some of the risks are minimal, but others may benefit from the knowledge.
VHA data will be stored in a secure VA computer.
The risks of the study are minimal.
Participants will be asked about their diabetes management and how they use My HealtheVet.
Some of the risks are minimal, but others may benefit from the knowledge.
Patients will receive a training guide and support to help them learn how to use My Healthe Vet portal.
All staff is trained in HIPAA compliance and will complete all human subjects training.
The participants will receive information about the importance of confidentiality and techniques to maintain confidentiality.
The clinical trial only covers a portion of the clinical trial.
The clinical trials are being conducted only in the U.S.
The study is the first in the type of clinical trial to be conducted only.
HHS&D is the principal investigator.
A clinical trial is scheduled for March 2015.",https://ClinicalTrials.gov/ProvidedDocs/62/NCT02953262/Prot_SAP_000.pdf
9,NCT05187806,Completed,type 2 diabetes ,istanbul universitycerrahpasa , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking single participant primary purpose supportive care ,ministry of health gaziosmanpasa training and research hospital istanbul turkey ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.
The mean duration of diabetes of the patients in the intervention was 9.20 ± 5.70 years.
The mean time test was also found to be 9.05 ± 6.37 years.22.
72% of patients did not have regular health checks.
A significant difference was found between the final test and control groups.
The study was conducted between February and December 2017.
The study found that the mean a ge of the patients in the intervention group was 56.28 ± 8.18 years.
It was determined that the BMI of the people in the study was 32.49 ± 6.41.",https://ClinicalTrials.gov/ProvidedDocs/06/NCT05187806/Prot_SAP_000.pdf
10,NCT03176056,Completed,type 2 diabetes mellitus ,national taiwan university hospital , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,taiwan ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.
The Effectiveness of Low Carbohydrate Diet in Reducing Polypharmacy is a study of Type 2 Diabetes Mellitus.
The study was conducted by the ClinicalTrials.gov.
It is the first study to show that low Carbohydrate Die t for Type 2 diabetes Mellitus is effective.",https://ClinicalTrials.gov/ProvidedDocs/56/NCT03176056/Prot_000.pdf
