Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Age,Phases,Funded Bys,Study Type,Study Designs,Locations,Study Documents,URL
1,NCT03763474,Euglyca Application in Children and Adolescents With Type 1 Diabetes Mellitus,Completed,No Results Available,"Diabetes Mellitus, Type 1",Combination Product: Euglyca application,Aristotle University Of Thessaloniki,"6 Years to 18 Years   (Child, Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,"Endocrine Unit of 3rd Department of Pediatrics of Aristotle University of Thessaloniki, Hippokration General Hospital, Thessaloniki, Greece","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/74/NCT03763474/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03763474
2,NCT05013294,Using mHealth (Mobile Health) to Optimize Glycemic Control in Adults With Type 2 Diabetes: Proof of Concept Study,Completed,No Results Available,Diabetes,Other: Intervention,KU Leuven|Jomo Kenyatta University of Agriculture and Technology,"Child, Adult, Older Adult",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,"Jomo Kenyatta University of Agriculture and Technology, Nairobi, Kenya","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/94/NCT05013294/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT05013294
3,NCT03108521,SNP Study of DPP-4 and GLP-1R in Chinese People (Including Diabetes Patients),Completed,Has Results,Diabetes Mellitus,Drug: Sitagliptin,Sichuan Provincial People's Hospital,"18 Years to 70 Years   (Adult, Older Adult)",Phase 4,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Sichuan provincial people's hospital, Chengdu, Sichuan, China","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/21/NCT03108521/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03108521
4,NCT02928952,Mindful Stress Reduction in Diabetes Self-management Education for Veterans,Completed,Has Results,Diabetes Mellitus,Behavioral: Mind-STRIDE,VA Office of Research and Development,"18 Years and older   (Adult, Older Adult)",Not Applicable,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,"VA Pittsburgh Healthcare System University Drive Division, Pittsburgh, PA, Pittsburgh, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02928952/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02928952
5,NCT05106231,Effectiveness of PICC Improving HBA1C and Knowledge in Diabetes Mellitus Education,Recruiting,No Results Available,Diabetes Mellitus|Type2 Diabetes,Behavioral: PICC Program|Behavioral: Control,"Clinical Research Centre, Malaysia|Ministry of Health, Malaysia","18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,"Klinik Kesihatan Daro, Daro, Sarawak, Malaysia|Klinik Kesihatan Kapit, Kapit, Sarawak, Malaysia|Klinik Kesihatan Jalan Masjid Kuching, Kuching, Sarawak, Malaysia|Klinik Kesihatan Bandar Miri, Miri, Sarawak, Malaysia|Klinik Kesihatan Pusa, Pusa, Sarawak, Malaysia|Klinik Kesihatan Sarikei, Sarikei, Sarawak, Malaysia|Klinik Kesihatan Siburan, Serian, Sarawak, Malaysia|Klinik Kesihatan Jalan Oya, Sibu, Sarawak, Malaysia|Klinik Kesihatan Sri Aman, Simanggang, Sarawak, Malaysia","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT05106231/Prot_SAP_ICF_001.pdf",https://ClinicalTrials.gov/show/NCT05106231
6,NCT02002130,The Use of Glutamic Acid Decarboxylase (GAD) and Gamma-Amino Butyric Acid (GABA) in the Treatment of Type I Diabetes,Completed,No Results Available,Type I Diabetes,Drug: Placebo GABA and Placebo GAD-alum|Drug: GABA and Placebo GAD-alum|Drug: Active Oral GABA and Active GAD-alum injection,University of Alabama at Birmingham|Diamyd Inc|NOW Foods|Janssen Pharmaceuticals|Juvenile Diabetes Research Foundation,"4 Years to 18 Years   (Child, Adult)",Phase 1,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Children's of Alabama, Birmingham, Alabama, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT02002130/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02002130
7,NCT02641522,Modulation of STAT3 Signaling With Siltuximab in Type 1 Diabetes,Completed,Has Results,Type 1 Diabetes,Drug: Siltuximab,"Carla Greenbaum, MD|Janssen Research & Development, LLC|Benaroya Research Institute",18 Years to 45 Years   (Adult),Early Phase 1,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,"Benaroya Research Institute, Seattle, Washington, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/22/NCT02641522/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02641522
8,NCT03224234,A Randomized Study to Evaluate the Efficacy of Insulclock® in Patients With Uncontrolled Type 2 Diabetes,Completed,Has Results,Diabetes,Device: Insulclock with feedback|Device: Insulclock without feedback,Emory University|Insulcoud S.L.,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Emory Clinic, Emory University Hospital (non-CRN), Emory University Hospital Clinical Research Network, Emory University Hospital Midtown, Grady Health System (non-CRN), Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/34/NCT03224234/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03224234
9,NCT03626909,Diabetes Treatment in Rural Guatemala,Completed,No Results Available,Diabetes,Other: Primary visit and assessment|Other: Follow up visits|Other: 3 month visits|Other: Unscheduled visits,"University of Wisconsin, Madison|Stanford University","18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,"Hospital Obras Sociales, San Lucas Tolimán, Solala, Guatemala","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT03626909/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03626909
10,NCT02953262,Improving Diabetes Care Through Effective Personalized Patient Portal Interactions,Completed,Has Results,Diabetes Mellitus,Behavioral: My HealtheVet Brochure|Behavioral: My HealtheVet Training Guide for Veterans Living with Diabetes|Behavioral: My HealtheVet Group Training|Behavioral: My HealtheVet Individual Training,VA Office of Research and Development,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Health Services Research,"Edith Nourse Rogers Memorial Veterans Hospital, Bedford, MA, Bedford, Massachusetts, United States|VA Boston Healthcare System Jamaica Plain Campus, Jamaica Plain, MA, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT02953262/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02953262
11,NCT05187806,Motivational Interviewing With Diabetes Patients,Completed,No Results Available,Type 2 Diabetes,Behavioral: motivational interview,Istanbul University-Cerrahpasa,"18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care,"Ministry of Health, Gaziosmanpasa Training and Research Hospital, Istanbul, Turkey","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT05187806/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT05187806
12,NCT03176056,The Effectiveness of Low Carbohydrate Diet in Reducing Polypharmacy for Patients With Type 2 Diabetes Mellitus,Completed,No Results Available,Type 2 Diabetes Mellitus,Dietary Supplement: Low carbohydrate diet|Dietary Supplement: Calori restricted diet,National Taiwan University Hospital,"20 Years to 80 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,Taiwan,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/56/NCT03176056/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT03176056
13,NCT03737799,StartRight: Getting the Right Classification and Treatment From Diagnosis in Adults With Diabetes,"Active, not recruiting",No Results Available,Diabetes Mellitus,,"Royal Devon and Exeter NHS Foundation Trust|National Institute for Health Research, United Kingdom|Diabetes UK|University of Exeter","18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,"Anita Hill, Exeter, Devon, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT03737799/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT03737799
14,NCT01908530,Clinical Assessment of a Novel Microprobe Array Continuous Glucose Monitor for Type 1 Diabetes,Completed,Has Results,Diabetes Mellitus,Device: Microprobe glucose sensor,Imperial College London,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,"Imperial College London, London, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT01908530/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT01908530
